,0
479,10.5 
480,48.75 
481,5.5 
482,5.1 
483,8 
484,5.92 
485,7.85 
486,6.25 
487,4.7 
488,5.7 
489,18.11 
490,11 
491,5.25 
492,3.2 
493,5.9 
494,5.85 
495,7 
496,5 
497,10 
498,12.75 
499,4.75 
500,3.5 
501,8.25 
502,4.95 
503,9 
504,4 
505,4.7 
506,7.85 
507,2.7 
508,2.6 
509,22.25 
510,5.4 
511,6.2 
512,3.5 
513,5.5 
514,12.7 
515,7.4 
516,4.5 
517,7.5 
518,3.45 
519,3.7 
520,2.3 
521,10.75 
522,5.5 
523,5.5 
524,8.9 
525,15 
526,30 
527,5 
528,3.3 
529,8.5 
530,3.35 
531,6.1 
532,8.34 
533,1.7 
534,4.5 
535,9 
536,3.6 
537,5.3 
538,27 
539,5.51 
540,10.5 
541,10 
542,3.9 
543,1.3 
544,13.85 
545,4.95 
546,8 
547,2.6 
548,4.6 
549,4.5 
550,1.05 
551,17.75 
552,5.25 
553,3.41 
554,7.75 
555,10.99 
556,3.2 
557,5.99 
558,7.5 
559,3 
560,4.35 
561,3.2 
562,37.5 
563,14.9 
564,5.25 
565,4.15 
566,2 
567,6.95 
568,3 
569,3.57 
570,3.2 
571,2.5 
572,7.7 
573,11.4 
574,7 
575,6 
576,7.5 
577,5.1 
578,8.75 
579,5.65 
580,2.95 
581,3.8 
582,6.5 
583,4.5 
584,4.2 
585,3.6 
586,4.25 
587,2.5 
588,6.4 
589,"80,000"
590,7 
591,9 
592,2.4 
593,6.55 
594,2.9 
595,2.4 
596,4.25 
597,3.8 
598,12.5 
599,5.8 
600,5 
601,47.5 
602,5.4 
603,3 
604,6.4 
605,5.35 
606,2.62 
607,3.5 
608,7.2 
609,10.5 
610,2.25 
611,8.9 
612,1.2 
613,4.25 
614,8.75 
615,5.9 
616,4.4 
617,3.5 
618,6.5 
619,39.75 
620,2.6 
621,4.05 
622,19.5 
623,11.8 
624,9.7 
625,6.5 
626,12.45 
627,2.75 
628,8.9 
629,3.6 
630,6.2 
631,3.6 
632,2.6 
633,6.5 
634,2.15 
635,30.5 
636,5.85 
637,5.01 
638,"85,000"
639,9 
640,3.25 
641,5.25 
642,6 
643,4.25 
644,5.26 
645,3.24 
646,30.4 
647,5 
648,3.85 
649,10.95 
650,5.5 
651,18 
652,3.1 
653,7.8 
654,4.5 
655,5.56 
656,8.25 
657,25.9 
658,4.65 
659,5.51 
660,6 
661,4.1 
662,5.75 
663,7 
664,14.95 
665,11.5 
666,4.25 
667,6 
668,9.98 
669,5 
670,4.45 
671,10.5 
672,14 
673,2.8 
674,2.5 
675,4.15 
676,2.45 
677,5.7 
678,2.45 
679,3.5 
680,10 
681,9.9 
682,20.5 
683,5 
684,3.85 
685,6.5 
686,3 
687,2.25 
688,6.24 
689,9 
690,5.27 
691,6.5 
692,3.8 
693,6 
694,2.25 
695,4.5 
696,9.2 
697,12.41 
698,6.3 
699,6.1 
700,24 
701,2.99 
702,9.6 
703,7.75 
704,13.21 
705,7 
706,6.8 
707,4.51 
708,6.35 
709,4 
710,4.1 
711,46 
712,7.5 
713,8 
714,6.15 
715,9 
716,7.2 
717,6.5 
718,62 
719,6.1 
720,3.5 
721,21 
722,3 
723,5 
724,4.2 
725,5 
726,4 
727,6.5 
728,20 
729,6.5 
730,1.73 
731,6.75 
732,4.75 
733,4.8 
734,10.5 
735,4.1 
736,2.39 
737,2.48 
738,4.7 
739,12 
740,5.5 
741,1.99 
742,3.68 
743,7.95 
744,5.5 
745,4 
746,3 
747,35 
748,4.55 
749,4.5 
750,4.4 
751,5.5 
752,4.2 
753,2.75 
754,27 
755,2.55 
756,44.9 
757,6.51 
758,5.49 
759,3.75 
760,3.15 
761,12 
762,9 
763,7 
764,5.9 
765,18.25 
766,2.95 
767,14.5 
768,5.84 
769,6.2 
770,3.5 
771,6.35 
772,4.5 
773,4.6 
774,8 
775,9.99 
776,5.4 
777,10.65 
778,9 
779,3 
780,3.5 
781,1.98 
782,23.5 
783,6.3 
784,12.5 
785,4 
786,4.5 
787,4.04 
788,3 
789,4.5 
790,4.3 
791,2.6 
792,2.35 
793,5.8 
794,3.67 
795,4.25 
796,5.7 
797,5.8 
798,5.2 
799,4.5 
800,4.25 
801,6.8 
802,6.25 
803,3.6 
804,4.8 
805,14.75 
806,7.5 
807,6.9 
808,5.3 
809,5 
810,3.4 
811,11.25 
812,10.5 
813,16.5 
814,3.75 
815,5 
816,3 
817,5.8 
818,13 
819,10.11 
820,1.25 
821,4 
822,6 
823,9.25 
824,14.25 
825,4.75 
826,2.35 
827,2.3 
828,6 
829,5.5 
830,2.5 
831,5.25 
832,4.8 
833,7.85 
834,5.6 
835,6.9 
836,8.75 
837,1.45 
838,3.5 
839,9.75 
840,9.7 
841,16 
842,5.45 
843,5.1 
844,8.5 
845,4.75 
846,3.2 
847,6.75 
848,17.5 
849,17.75 
850,5 
851,7 
852,2.5 
853,5.25 
854,9.6 
855,25.5 
856,7 
857,3.15 
858,12.4 
859,2.15 
860,4.9 
861,78 
862,2.4 
863,5.25 
864,3.9 
865,5.75 
866,5.5 
867,4 
868,6.6 
869,6.5 
870,9 
871,6.25 
872,4 
873,11.75 
874,2.5 
875,9.5 
876,5.1 
877,1.1 
878,44 
879,3.45 
880,2.35 
881,3 
882,2.25 
883,2.91 
884,6.2 
885,3.7 
886,3.9 
887,5.5 
888,10.5 
889,2.3 
890,2.5 
891,5.75 
892,3.8 
893,11.51 
894,10 
895,5 
896,36.5 
897,10 
898,11.4 
899,18.9 
900,7.75 
901,3.2 
902,14 
903,7 
904,8 
905,5.3 
906,13.6 
907,3.5 
908,7.99 
909,3.5 
910,6.2 
911,8.9 
912,3.5 
913,3.8 
914,45 
915,4.9 
916,15 
917,3.25 
918,5.9 
919,15 
920,4.5 
921,8.75 
922,4.5 
923,8.5 
924,8.3 
925,8.29 
926,15 
927,4.5 
928,5.75 
929,5 
930,3 
931,3.75 
932,5.75 
933,5 
934,8.15 
935,1.9 
936,13 
937,4.45 
938,10 
939,3.95 
940,4.75 
941,5.24 
942,17.5 
943,14.5 
944,3.55 
945,2.5 
946,15 
947,6.45 
948,4.4 
949,5.9 
950,3.5 
951,5.75 
952,1.95 
953,17.9 
954,27 
955,22.5 
956,5.15 
957,5.3 
958,5.7 
959,11.85 
960,2.8 
961,17.9 
962,5.5 
963,3.9 
964,7.35 
965,7.41 
966,3.65 
967,9.5 
968,4.2 
969,2.5 
970,1.95 
971,10.75 
972,25 
973,5.11 
974,15.5 
975,6 
976,5.2 
977,3.7 
978,5.5 
979,2.17 
980,7.5 
981,6.1 
982,3.1 
983,4 
984,6 
985,8.5 
986,26.5 
987,6.25 
988,4.5 
989,5.7 
990,8.25 
991,2.85 
992,5 
993,3.25 
994,2.6 
995,8.75 
996,4.75 
997,1.25 
998,4.5 
999,17.5 
1000,16.7 
1001,5.85 
1002,4 
1003,3.65 
1004,5.6 
1005,6.5 
1006,4.65 
1007,6.5 
1008,4.5 
1009,6.25 
1010,3.95 
1011,8 
1012,3 
1013,5 
1014,1.5 
1015,7 
1016,2.25 
1017,1.2 
1018,1.9 
1019,5.7 
1020,13.75 
1021,8.51 
1022,6 
1023,5.3 
1024,3.85 
1025,8.5 
1026,13 
1027,4.85 
1028,6 
1029,3.6 
1030,4.75 
1031,10.5 
1032,6.98 
1033,5 
1034,14.5 
1035,5.9 
1036,7.5 
1037,2.9 
1038,3 
1039,4.2 
1040,4 
1041,4.75 
1042,1.5 
1043,8.25 
1044,7.75 
1045,5 
1046,5.4 
1047,4.5 
1048,7.8 
1049,17 
1050,5.61 
1051,9 
1052,2.5 
1053,6.25 
1054,5.5 
1055,3.7 
1056,10.25 
1057,4.65 
1058,13 
1059,3.4 
1060,16 
1061,5.5 
1062,6.5 
1063,9.5 
1064,5.4 
1065,3 
1066,3.69 
1067,5.25 
1068,6.8 
1069,9.5 
1070,1 
1071,5.75 
1072,5.65 
1073,"80,000"
1074,6.5 
1075,4 
1076,6.5 
1077,2.99 
1078,4.75 
1079,10.35 
1080,23.4 
1081,7.75 
1082,2.7 
1083,4.5 
1084,6.4 
1085,4 
1086,8.35 
1087,11.5 
1088,6.25 
1089,13.25 
1090,6.6 
1091,7.8 
1092,6 
1093,3.7 
1094,3.25 
1095,4.65 
1096,5.95 
1097,13.75 
1098,12 
1099,18.9 
1100,2 
1101,4.5 
1102,6.5 
1103,4.99 
1104,5.6 
1105,1.6 
1106,5.75 
1107,27 
1108,9.7 
1109,4.75 
1110,8.95 
1111,3.1 
1112,13 
1113,4.5 
1114,13.5 
1115,2.5 
1116,14.75 
1117,3.35 
1118,5.5 
1119,20.45 
1120,4.4 
1121,10.25 
1122,4.25 
1123,6.7 
1124,4.9 
1125,9.2 
1126,5.25 
1127,6.75 
1128,11.85 
1129,3.15 
1130,7.5 
1131,3.35 
1132,4.5 
1133,9.51 
1134,2.95 
1135,3.25 
1136,11.45 
1137,5.5 
1138,5.3 
1139,5 
1140,7.65 
1141,3.6 
1142,18.95 
1143,3.2 
1144,13.35 
1145,4.45 
1146,2 
1147,13 
1148,3 
1149,14.25 
1150,20 
1151,12.75 
1152,8.25 
1153,14.99 
1154,3.2 
1155,3.65 
1156,10.9 
1157,3.55 
1158,5.75 
1159,9.8 
1160,8 
1161,3.95 
1162,6.5 
1163,2.95 
1164,2.55 
1165,4.6 
1166,7 
1167,3.35 
1168,11.5 
1169,2.64 
1170,5.25 
1171,3.95 
1172,11.9 
1173,57 
1174,9.25 
1175,4.95 
1176,6.5 
1177,3.45 
1178,4.7 
1179,6 
1180,6.35 
1181,2.75 
1182,8.75 
1183,4.5 
1184,4.79 
1185,3.75 
1186,8 
1187,10 
1188,7 
1189,6.9 
1190,12 
1191,6 
1192,8.15 
1193,6.8 
1194,8.11 
1195,15.15 
1196,4.5 
1197,3.25 
1198,4 
1199,23 
1200,5.89 
1201,5.9 
1202,8.51 
1203,3.19 
1204,5.15 
1205,2.85 
1206,7.4 
1207,7.75 
1208,3.8 
1209,4.85 
1210,5 
1211,4.5 
1212,13 
1213,2.1 
1214,4.5 
1215,28.5 
1216,8.5 
1217,16.5 
1218,6.9 
1219,8.99 
1220,8.45 
1221,1.75 
1222,5.35 
1223,2.55 
1224,4.35 
1225,26 
1226,3.6 
1227,6.3 
1228,3.2 
1229,1.65 
1230,1.9 
1231,16.9 
1232,3.95 
1233,4.85 
1234,52.75 
1235,4.99 
1236,14 
1237,9.79 
1238,4.5 
1239,5.4 
1240,2.75 
1241,5.75 
1242,6.5 
1243,7 
1244,1.75 
1245,41.5 
1246,1.1 
1247,5.75 
1248,1.2 
1249,3.25 
1250,6 
1251,4.45 
1252,4.95 
1253,5.5 
1254,10.85 
1255,9.5 
1256,8 
1257,8.5 
1258,2.99 
1259,3.1 
1260,9.9 
1261,4.7 
1262,3.9 
1263,2.9 
1264,4.5 
1265,5.96 
1266,4.9 
1267,8.75 
1268,6.95 
1269,11.25 
1270,9.45 
1271,3.1 
1272,3.55 
1273,3.25 
1274,5.4 
1275,11.75 
1276,3.5 
1277,3 
1278,3.25 
1279,9.25 
1280,5.55 
1281,19.5 
1282,8.4 
1283,2.75 
1284,9.5 
1285,5.7 
1286,2.75 
1287,4.5 
1288,1.9 
1289,4.9 
1290,4 
1291,5.1 
1292,6.55 
1293,3.5 
1294,3.15 
1295,5 
1296,5.4 
1297,6.5 
1298,6.25 
1299,3.35 
1300,3.5 
1301,5 
1302,13.5 
1303,3.25 
1304,3.85 
1305,3.2 
1306,3.9 
1307,6.65 
1308,2.35 
1309,20.25 
1310,5.5 
1311,4.5 
1312,13.5 
1313,18 
1314,6.25 
1315,4.3 
1316,2.35 
1317,3.3 
1318,8.25 
1319,6.3 
1320,11.85 
1321,10.59 
1322,3 
1323,5.5 
1324,2.69 
1325,7.65 
1326,13.65 
